
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-08-15 10:54:45 /api/v1 .................................................................................. ~ 1s
  2026-08-15 10:55:44 /api/v1/auth/me .......................................................................... ~ 3s
  2026-08-15 10:55:59 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-15 10:58:23 /api/v1/auth/me .................................................................... ~ 500.36ms
  2026-08-15 10:58:23 /api/v1/auth/me ...................................................................... ~ 0.10ms
  2026-08-15 10:58:23 /api/v1/auth/me ...................................................................... ~ 1.01ms
  2026-08-15 10:58:23 /api/v1/auth/me .................................................................... ~ 504.60ms
  2026-08-15 10:58:24 /api/v1/auth/login ................................................................. ~ 505.19ms
  2026-08-15 10:58:25 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-15 10:58:26 /api/v1/notifications/stream ......................................................... ~ 0.17ms
  2026-08-15 10:58:26 /api/v1/notifications/stream ....................................................... ~ 515.85ms
  2026-08-15 10:58:26 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:58:27 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:58:27 /api/v1/purchase-requests .......................................................... ~ 515.80ms
  2026-08-15 10:58:28 /api/v1/notifications/unread-count ................................................. ~ 500.16ms
  2026-08-15 10:58:28 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:58:28 /api/v1/purchase-requests ................................................................ ~ 1s
  2026-08-15 10:58:29 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:58:29 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:58:30 /api/v1/purchase-requests ................................................................ ~ 1s
  2026-08-15 10:58:31 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:58:31 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:58:32 /api/v1/purchase-requests ................................................................ ~ 1s
  2026-08-15 10:58:32 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:58:33 /api/v1/purchase-requests ................................................................ ~ 1s
  2026-08-15 10:58:34 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:58:34 /api/v1/notifications/unread-count ................................................. ~ 511.00ms
  2026-08-15 10:58:34 /api/v1/purchase-requests .......................................................... ~ 506.83ms
  2026-08-15 10:58:35 /api/v1/notifications/stream ......................................................... ~ 0.17ms
  2026-08-15 10:58:36 /api/v1/catalog-items .............................................................. ~ 504.54ms
  2026-08-15 10:58:36 /api/v1/purchase-requests/reviewer-options ......................................... ~ 506.04ms
  2026-08-15 10:58:36 /api/v1/catalog-items .............................................................. ~ 508.45ms
  2026-08-15 10:58:36 /api/v1/purchase-requests/reviewer-options ......................................... ~ 508.28ms
  2026-08-15 10:58:36 /api/v1/catalog-items .............................................................. ~ 513.59ms
  2026-08-15 10:58:37 /api/v1/purchase-requests/reviewer-options ......................................... ~ 514.21ms
  2026-08-15 10:58:37 /api/v1/notifications/stream ....................................................... ~ 507.64ms
  2026-08-15 10:58:37 /api/v1/catalog-items .................................................................... ~ 1s
  2026-08-15 10:58:38 /api/v1/purchase-requests/reviewer-options ............................................... ~ 1s
  2026-08-15 10:58:39 /api/v1/notifications/stream ....................................................... ~ 506.78ms
  2026-08-15 10:58:40 /api/v1/notifications/stream ....................................................... ~ 504.54ms
  2026-08-15 10:58:42 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:58:43 /api/v1/notifications/stream ......................................................... ~ 0.13ms
  2026-08-15 10:58:45 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:58:46 /api/v1/notifications/stream ......................................................... ~ 0.14ms
  2026-08-15 10:58:48 /api/v1/notifications/stream ....................................................... ~ 501.36ms
  2026-08-15 10:58:49 /api/v1/notifications/stream ....................................................... ~ 506.27ms
  2026-08-15 10:58:51 /api/v1/notifications/stream ....................................................... ~ 508.68ms
  2026-08-15 10:58:52 /api/v1/notifications/stream ......................................................... ~ 0.10ms
  2026-08-15 10:58:53 /api/v1/notifications/stream ....................................................... ~ 505.55ms
  2026-08-15 10:58:55 /api/v1/notifications/stream ....................................................... ~ 515.00ms
  2026-08-15 10:58:56 /api/v1/notifications/stream ......................................................... ~ 0.14ms
  2026-08-15 10:58:57 /api/v1/notifications/stream ....................................................... ~ 503.00ms
  2026-08-15 10:58:59 /api/v1/notifications/stream ....................................................... ~ 504.75ms
  2026-08-15 10:59:00 /api/v1/notifications/stream ....................................................... ~ 506.61ms
  2026-08-15 10:59:02 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:04 /api/v1/notifications/stream ....................................................... ~ 501.88ms
  2026-08-15 10:59:06 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:07 /api/v1/notifications/stream ....................................................... ~ 512.24ms
  2026-08-15 10:59:08 /api/v1/purchase-requests .......................................................... ~ 510.28ms
  2026-08-15 10:59:09 /api/v1/purchase-requests ................................................................ ~ 1s
  2026-08-15 10:59:10 /api/v1/notifications/stream ....................................................... ~ 511.74ms
  2026-08-15 10:59:10 /api/v1/purchase-requests/1/submit ................................................. ~ 512.88ms
  2026-08-15 10:59:11 /api/v1/purchase-requests/1/submit ....................................................... ~ 1s
  2026-08-15 10:59:12 /api/v1/notifications/stream ....................................................... ~ 514.23ms
  2026-08-15 10:59:13 /api/v1/purchase-requests/1 ........................................................ ~ 512.01ms
  2026-08-15 10:59:13 /api/v1/purchase-requests/1 .............................................................. ~ 1s
  2026-08-15 10:59:13 /api/v1/purchase-requests/1 .............................................................. ~ 1s
  2026-08-15 10:59:14 /api/v1/notifications/stream ....................................................... ~ 504.04ms
  2026-08-15 10:59:14 /api/v1/purchase-requests/1 .............................................................. ~ 1s
  2026-08-15 10:59:16 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:18 /api/v1/notifications/stream ....................................................... ~ 505.00ms
  2026-08-15 10:59:19 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:21 /api/v1/notifications/stream ....................................................... ~ 508.74ms
  2026-08-15 10:59:23 /api/v1/notifications/stream ....................................................... ~ 504.11ms
  2026-08-15 10:59:24 /api/v1/notifications/stream ....................................................... ~ 502.28ms
  2026-08-15 10:59:25 /api/v1/auth/logout ................................................................ ~ 513.61ms
  2026-08-15 10:59:25 /api/v1/auth/logout ...................................................................... ~ 1s
  2026-08-15 10:59:27 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-15 10:59:29 /api/v1/notifications/stream ....................................................... ~ 505.79ms
  2026-08-15 10:59:29 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:59:29 /api/v1/reviewer/purchase-requests ....................................................... ~ 1s
  2026-08-15 10:59:30 /api/v1/reviewer/purchase-requests ................................................. ~ 505.23ms
  2026-08-15 10:59:31 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:31 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:59:32 /api/v1/reviewer/purchase-requests ....................................................... ~ 1s
  2026-08-15 10:59:32 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:59:33 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:34 /api/v1/reviewer/purchase-requests ....................................................... ~ 1s
  2026-08-15 10:59:35 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 10:59:35 /api/v1/reviewer/purchase-requests/1 ..................................................... ~ 1s
  2026-08-15 10:59:36 /api/v1/reviewer/purchase-requests/1 ..................................................... ~ 1s
  2026-08-15 10:59:36 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:37 /api/v1/reviewer/purchase-requests/1 ..................................................... ~ 1s
  2026-08-15 10:59:38 /api/v1/reviewer/purchase-requests ................................................. ~ 514.51ms
  2026-08-15 10:59:38 /api/v1/reviewer/purchase-requests/1 ..................................................... ~ 1s
  2026-08-15 10:59:38 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:39 /api/v1/reviewer/purchase-requests ....................................................... ~ 1s
  2026-08-15 10:59:40 /api/v1/reviewer/purchase-requests/1 ............................................... ~ 515.18ms
  2026-08-15 10:59:41 /api/v1/notifications/stream ....................................................... ~ 509.24ms
  2026-08-15 10:59:41 /api/v1/reviewer/purchase-requests/1 ..................................................... ~ 1s
  2026-08-15 10:59:42 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:44 /api/v1/notifications/stream ....................................................... ~ 500.88ms
  2026-08-15 10:59:46 /api/v1/notifications/stream ....................................................... ~ 504.54ms
  2026-08-15 10:59:47 /api/v1/reviewer/purchase-requests/1/review ........................................ ~ 514.52ms
  2026-08-15 10:59:48 /api/v1/notifications/stream ....................................................... ~ 514.70ms
  2026-08-15 10:59:48 /api/v1/reviewer/purchase-requests/1/review .............................................. ~ 1s
  2026-08-15 10:59:49 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:51 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:53 /api/v1/notifications/stream ....................................................... ~ 509.79ms
  2026-08-15 10:59:55 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 10:59:57 /api/v1/notifications/stream ....................................................... ~ 502.36ms
  2026-08-15 10:59:59 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:00 /api/v1/notifications/stream ....................................................... ~ 502.31ms
  2026-08-15 11:00:02 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:04 /api/v1/notifications/stream ......................................................... ~ 0.21ms
  2026-08-15 11:00:05 /api/v1/notifications/stream ....................................................... ~ 503.83ms
  2026-08-15 11:00:07 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:09 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:10 /api/v1/notifications/stream ....................................................... ~ 504.16ms
  2026-08-15 11:00:12 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:14 /api/v1/notifications/stream ......................................................... ~ 0.17ms
  2026-08-15 11:00:15 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:18 /api/v1/notifications/stream ......................................................... ~ 0.17ms
  2026-08-15 11:00:20 /api/v1/notifications/stream ......................................................... ~ 0.20ms
  2026-08-15 11:00:22 /api/v1/notifications/stream ......................................................... ~ 0.16ms
  2026-08-15 11:00:24 /api/v1/notifications/stream ......................................................... ~ 0.31ms
  2026-08-15 11:00:26 /api/v1/notifications/stream ......................................................... ~ 0.25ms
  2026-08-15 11:00:28 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:31 /api/v1/notifications/stream ....................................................... ~ 501.73ms
  2026-08-15 11:00:33 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:00:35 /api/v1/notifications/stream ....................................................... ~ 505.85ms
  2026-08-15 11:00:36 /api/v1/auth/logout ................................................................ ~ 509.75ms
  2026-08-15 11:00:38 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-15 11:00:39 /api/v1/notifications/stream ....................................................... ~ 503.32ms
  2026-08-15 11:00:40 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:00:40 /api/v1/purchase-requests ................................................................ ~ 1s
  2026-08-15 11:00:41 /api/v1/notifications/stream ....................................................... ~ 502.53ms
  2026-08-15 11:00:41 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:00:42 /api/v1/catalog-items .................................................................... ~ 1s
  2026-08-15 11:00:43 /api/v1/purchase-requests/reviewer-options ............................................... ~ 1s
  2026-08-15 11:00:43 /api/v1/purchase-requests ................................................................ ~ 1s
  2026-08-15 11:00:44 /api/v1/notifications/unread-count ....................................................... ~ 1s
